Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr)
Adon Agro,544809,Adon Agro Commodities Ltd,28.1,203
Advit Jewels,RAMBHAJO,Advit Jewels Ltd,38.2,969
Exhicon Events,543895,Exhicon Events Media Solutions Ltd,51.6,806
Seshaasai Tech.,STYL,Seshaasai Technologies Ltd,26.5,"6,460"
Bhadora Indust.,BHADORA,Bhadora Industries Ltd,16.8,167
Garware Tech.,GARFIBRES,Garware Technical Fibres Ltd,34.5,"7,642"
RBZ Jewellers Lt,RBZJEWEL,RBZ Jewellers Ltd,11.0,603
Lancor Holdings,LANCORHOL,Lancor Holdings Ltd,4.86,198
Thejo Engg.,THEJO,Thejo Engineering Ltd,35.4,"2,024"
Federal-Mogul Go,FMGOETZE,Federal-Mogul Goetze (India) Ltd,15.0,"2,726"
Amines & Plast.,AMNPLST,Amines & Plasticizers Ltd,30.8,"1,122"
FDC,FDC,FDC Ltd,22.9,"6,906"
BCL Industries,BCLIND,BCL Industries Ltd,13.0,"1,068"
SMC Global Sec.,SMCGLOBAL,SMC Global Securities Ltd,20.7,"1,675"
Jubilant Ingrev.,JUBLINGREA,Jubilant Ingrevia Ltd,42.2,"11,703"
Rishi Laser,526861,Rishi Laser Ltd,31.8,130
