Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Blue Jet Health,BLUEJET,Blue Jet Healthcare Ltd,45.0,"11,155",0.20,16,12,2.81,3.75,2.78,3.69
Kaka Industries,543939,Kaka Industries Ltd,16.2,303,0.00,38,44,0.43,0.37,0.43,0.37
Denta Water,DENTA,Denta Water & Infra Solutions Ltd,14.9,909,0.73,7,44,2.13,0.34,1.93,0.33
U. Y. Fincorp,UYFINCORP,U. Y. Fincorp Ltd,6.70,324,0.00,84,38,0.08,0.18,0.08,0.18
Aptus Value Hou.,APTUS,Aptus Value Housing Finance India Ltd,22.1,"15,324",1.47,18,26,1.23,0.85,1.14,0.80
Lagnam Spintex,LAGNAM,Lagnam Spintex Ltd,10.9,157,0.00,14,26,0.78,0.42,0.78,0.42
Capital Trade Lk,538476,Capital Trade Links Ltd,173,323,0.00,-9,6,Negative Growth,28.83,Negative Growth+Yield,28.83
Dhoot Indl.Fin,526971,Dhoot Industrial Finance Ltd,8.36,150,0.63,141,-12,0.06,Negative Growth,0.06,Negative Growth+Yield
IFGL Refractori.,IFGLEXPOR,IFGL Refractories Ltd,36.1,"1,505",1.03,-12,-1,Negative Growth,Negative Growth,Negative Growth+Yield,1203.33
Tsf Investments,TSFINV,Tsf Investments Ltd,41.5,"10,607",2.33,39,77,1.06,0.54,1.00,0.52
Eternal,ETERNAL,Eternal Ltd,104,"2,76,820",0.00,316,54,0.33,1.93,0.33,1.93
Aion-Tech Soluti,GOLDTECH,Aion-Tech Solutions Ltd,44.0,284,0.00,35,35,1.26,1.26,1.26,1.26
Mirza Internatio,MIRZAINT,Mirza International Ltd,,527,0.00,N/A,N/A,N/A,N/A,N/A,N/A
Elgi Rubber Co,ELGIRUBCO,Elgi Rubber Company Ltd,,293,0.00,N/A,N/A,N/A,N/A,N/A,N/A
