Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
Tusaldah,531301,Tusaldah Limited,,34.7,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Valor Estate,DBREALTY,Valor Estate Ltd,73.4,"6,420",0.00,36,26,2.04,2.82,2.04,2.82,6.3,V:2.0 L:8.8 R:8.4 T:6.0,🛡️ Mature
Hinduja Global,HGS,Hinduja Global Solutions Ltd,,"1,993",0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery
Shri Vasuprada,538092,Shri Vasuprada Plantations Ltd,,84.5,0.00,18,5,N/A,N/A,N/A,N/A,5.1,V:4.0 L:4.0 R:8.4 T:4.0,🔍 Discovery
Muller & Phipps,501477,Muller & Phipps (India) Ltd,,13.6,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Transworld Shipp,TRANSWORLD,Transworld Shipping Lines Ltd,,364,0.90,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
A B Real Estate,ABREL,Aditya Birla Real Estate Ltd,42.2,"15,451",0.18,10,63,4.22,0.67,4.15,0.67,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
Praveg,PRAVEG,Praveg Ltd,,721,0.36,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery
Essen Speciality,ESFL,Essen Speciality Films Ltd,,314,0.79,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Swiggy,SWIGGY,Swiggy Ltd,,"77,671",0.00,1,N/A,N/A,N/A,N/A,N/A,6.1,V:4.0 L:10.0 R:6.4 T:4.0,🔍 Discovery
Propshare Celestia,544752,Property Share Investment Trust-Propshare Celestia,,238,1.61,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
GIC Housing Fin,GICHSGFIN,GIC Housing Finance Ltd,5.34,825,2.94,-10,8,Negative Growth,0.67,Negative Growth+Yield,0.49,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Punjab Natl.Bank,PNB,Punjab National Bank,6.46,"1,32,298",2.61,89,53,0.07,0.12,0.07,0.12,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
