Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
The Ravalgaon,RAVALSUGAR,The Ravalgaon Sugar Farm Ltd,,N/A,-16.7,-38.5,33.6,0.00,-10,-25,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Artson,ARTSONENGG,Artson Ltd,,N/A,-14.6,-428,598,0.00,15,-41,N/A,N/A,N/A,N/A,5.0,V:4.0 L:5.6 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Ceenik Exports,CEENIKEXPO,Ceenik Exports (India) Ltd,,N/A,-18.8,-58.6,97.5,5.15,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.6,EY:0.5 MoS:1.0 Cap:0.6 Div:1.5,⚠️ Value Trap
Tusaldah,531301,Tusaldah Limited,,N/A,-29.0,-81.6,34.6,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Naturite Agro,538926,Naturite Agro Products Ltd,,N/A,2.08,-7.32,104,0.00,-10,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Praveg,PRAVEG,Praveg Ltd,,N/A,-0.08,-2.72,705,0.37,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Tega Inds.,TEGA,Tega Industries Ltd,78.8,1.27%,9.00,6.85,"12,800",0.12,11,-11,7.16,Negative Growth,7.09,Negative Growth+Yield,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,2.6,EY:0.5 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
Ruparel Food,511740,Ruparel Food Products Ltd,,N/A,-3.34,-3.34,43.2,0.00,5,-11,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Hind.Adhesive,514428,Hindustan Adhesives Ltd,5.26,19.01%,15.5,17.4,143,0.00,54,15,0.10,0.35,0.10,0.35,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.8,EY:3.5 MoS:2.5 Cap:1.6 Div:0.2,🌟 Quality Value
Shrem InvIT,SHREMINVIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slone Infosys.,SLONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haryana Capfin,532855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B P C L,BPCL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dynavision,517238,Dynavision Ltd,9.24,10.82%,28.0,28.8,80.7,0.00,17,13,0.54,0.71,0.54,0.71,8.1,V:10.0 L:4.0 R:8.4 T:10.0,📈 Accelerating,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
SIL Investments,SILINV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shraddha Prime,531771,Shraddha Prime Projects Ltd,9.84,10.16%,28.0,51.2,633,0.19,344,204,0.03,0.05,0.03,0.05,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,9.0,EY:3.5 MoS:2.5 Cap:2.5 Div:0.5,💎 Deep Value
Petronet LNG,PETRONET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pushpa Jewellers,PUSHPA,Pushpa Jewellers Ltd,10.4,9.62%,30.4,25.2,279,0.00,49,72,0.21,0.14,0.21,0.14,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
MANGALAM SEEDS,539275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KNR Construct.,KNRCON,KNR Constructions Ltd,33.2,3.01%,4.59,2.90,"3,724",0.19,-33,-14,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,2.3,EY:1.0 MoS:0.2 Cap:0.6 Div:0.5,⚠️ Value Trap
Chola Financial,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,413,0.24%,6.25,5.12,"29,992",0.08,7,27,59.00,15.30,58.33,15.25,5.4,V:2.0 L:10.0 R:6.4 T:3.2,🛡️ Mature,2.1,EY:0.5 MoS:0.5 Cap:0.6 Div:0.5,⚠️ Value Trap
Brandman Retail,BRANDMAN,Brandman Retail Ltd,11.3,8.85%,36.8,29.5,335,0.00,286,N/A,0.04,N/A,0.04,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Hind.Tin Works,HINDTINWRK,Hindustan Tin Works Ltd,12.1,8.26%,7.27,3.79,113,0.73,-20,-11,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.4,EY:2.8 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
B & A Packaging,523186,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wipro,WIPRO,Wipro Ltd,16.1,6.21%,23.7,19.0,"1,82,241",5.98,10,4,1.61,4.03,1.01,1.61,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature,6.8,EY:2.2 MoS:1.0 Cap:2.1 Div:1.5,🌟 Quality Value
WOL 3D India,WOL3D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guj Pipavav Port,GPPL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
National Fitting,531289,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CESC,CESC,CESC Ltd,25.8,3.88%,9.41,8.69,"22,247",3.58,2,1,12.90,25.80,4.62,5.63,6.1,V:2.0 L:10.0 R:6.4 T:6.0,⚠️ Stagnant,4.1,EY:1.0 MoS:0.5 Cap:1.1 Div:1.5,⚠️ Value Trap
Revathi Equip,RVTH,Revathi Equipment India Ltd,16.4,6.10%,14.4,10.2,224,0.00,1,3,16.40,5.47,16.40,5.47,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,4.5,EY:2.2 MoS:0.5 Cap:1.6 Div:0.2,⚖️ Fair Value
Seshasayee Paper,SESHAPAPER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KIFS Financial,535566,KIFS Financial Services Ltd,14.9,6.71%,8.18,13.3,124,1.30,8,16,1.86,0.93,1.60,0.86,5.2,V:4.4 L:4.0 R:6.4 T:6.0,🛡️ Mature,6.2,EY:2.8 MoS:1.0 Cap:1.6 Div:0.8,⚖️ Fair Value
Semac Construct,SEMAC,Semac Construction Ltd,13.1,7.63%,11.9,11.9,102,0.00,-20,-7,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.8 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Zodiac Energy,ZODIAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Point Edu,CPEDU,Career Point Edutech Ltd,16.0,6.25%,46.7,34.5,373,1.22,98,N/A,0.16,N/A,0.16,N/A,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,8.0,EY:2.2 MoS:2.5 Cap:2.5 Div:0.8,💎 Deep Value
Apollo Finvest,512437,Apollo Finvest (India) Ltd,16.4,6.10%,11.6,8.09,131,0.00,-17,7,Negative Growth,2.34,Negative Growth+Yield,2.34,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,3.7,EY:2.2 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Rajputana Bio.,RAJPUTANA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Excel Industries,EXCELINDUS,Excel Industries Ltd,18.5,5.41%,8.07,6.12,"1,274",1.36,-2,1,Negative Growth,18.50,Negative Growth+Yield,7.84,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.2 MoS:0.2 Cap:1.1 Div:0.8,⚠️ Value Trap
Poddar Pigments,PODDARMENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dynamic Industri,524818,Dynamic Industries Ltd,18.8,5.32%,5.92,3.71,33.2,0.91,20,37,0.94,0.51,0.90,0.50,7.7,V:8.4 L:4.0 R:8.4 T:10.0,📈 Accelerating,5.7,EY:2.2 MoS:2.1 Cap:0.6 Div:0.8,⚖️ Fair Value
Krsnaa Diagnost.,KRSNAA,Krsnaa Diagnostics Ltd,18.2,5.49%,12.7,10.9,"1,866",0.48,17,-11,1.07,Negative Growth,1.04,Negative Growth+Yield,8.0,V:6.4 L:7.2 R:8.4 T:10.0,📈 Accelerating,5.8,EY:2.2 MoS:1.5 Cap:1.6 Div:0.5,⚖️ Fair Value
Kotak Mah. Bank,KOTAKBANK,Kotak Mahindra Bank Ltd,26.2,3.82%,6.28,11.1,"3,89,091",0.17,9,15,2.91,1.75,2.86,1.73,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature,3.1,EY:1.0 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
AWL Agri Busine.,AWL,AWL Agri Business Ltd,22.6,4.42%,17.7,10.1,"24,975",0.52,18,9,1.26,2.51,1.22,2.37,8.7,V:6.4 L:10.0 R:8.4 T:10.0,📈 Accelerating,5.5,EY:1.6 MoS:1.5 Cap:1.6 Div:0.8,⚖️ Fair Value
Shiva Texyarn,SHIVATEX,Shiva Texyarn Ltd,23.0,4.35%,12.7,8.93,211,0.37,39,5,0.59,4.60,0.58,4.28,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.2,EY:1.6 MoS:2.5 Cap:1.6 Div:0.5,⚖️ Fair Value
Chandan Healthca,CHANDAN,Chandan Healthcare Ltd,22.8,4.39%,22.8,19.0,606,0.00,89,102,0.26,0.22,0.26,0.22,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,6.4,EY:1.6 MoS:2.5 Cap:2.1 Div:0.2,⚖️ Fair Value
Vilas Transcore,VILAS,Vilas Transcore Ltd,23.2,4.31%,16.1,12.8,916,0.00,26,50,0.89,0.46,0.89,0.46,8.1,V:8.4 L:5.6 R:8.4 T:10.0,🚀 Inflection,5.5,EY:1.6 MoS:2.1 Cap:1.6 Div:0.2,⚖️ Fair Value
Godrej Agrovet,GODREJAGRO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chemcon Special.,CHEMCON,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ahluwalia Contr.,AHLUCONT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keynote Finan.,KEYFINSERV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ICRA,ICRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C K K Retail,CKKRETAIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Holmarc Opto,HOLMARC,Holmarc Opto-Mechatronics Ltd,26.4,3.79%,18.1,14.1,108,0.37,11,42,2.40,0.63,2.32,0.62,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature,4.1,EY:1.0 MoS:0.5 Cap:2.1 Div:0.5,⚠️ Value Trap
